original_intent,clean_intent,duration_minutes,embedding_preview
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
Make myth flashcards,Make myth flashcards,15.0,"[-0.010626612231135368, -0.07985015958547592, -0.033450618386268616, 0.005252577364444733, -0.018628394231200218]..."
Make to-do list,Make to-do list,5.0,"[-0.010646031238138676, 0.03219063952565193, -0.01209165994077921, -0.02082453854382038, 0.024903923273086548]..."
Test if this script is working,Test if this script is working,1.0,"[0.017884578555822372, -0.040988024324178696, -0.003157109022140503, 0.04079587385058403, 0.0010129986330866814]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
Write ML project idea outline,Write ML project idea outline,10.0,"[-0.017449213191866875, -0.006611979566514492, -0.03451303765177727, 0.0024539479054510593, -0.0024076635017991066]..."
Finish ML Machine learning writeup,Finish ML Machine learning writeup,10.0,"[-0.03155382722616196, 0.024622337892651558, -0.02794063836336136, -0.029846496880054474, 0.011432073079049587]..."
Finish MOSFET report,Finish MOSFET report,20.0,"[-0.08828262239694595, -0.03821501508355141, -0.0372810885310173, 0.003970248159021139, -0.03181671351194382]..."
Review Bio ISU outline. Edit it.,Review Bio ISU outline. Edit it.,20.0,"[0.011487497016787529, -0.026730209589004517, -0.011906388215720654, -0.03501097485423088, 0.008250518701970577]..."
Edit Bio ISU,Edit Bio ISU,25.0,"[0.012357035651803017, -0.022647656500339508, -0.007240435108542442, -0.03408026322722435, 0.02309352532029152]..."
I want to make a todolist,I want to make a todolist,10.0,"[0.009414623491466045, -0.053286004811525345, -0.04037246108055115, 0.012906492687761784, 0.02648419328033924]..."
Make a todo list in order of due date,Make a todo list in order of due date,10.0,"[0.02065148390829563, 0.04138481616973877, -0.0317528061568737, -0.026557300239801407, 0.0028906180523335934]..."
Edit and turn in Bio ISU,Edit and turn in Bio ISU,40.0,"[-0.007691304199397564, -0.011602120473980904, -0.012955570593476295, -0.04782315343618393, 0.034806132316589355]..."
Finish Bio ISU outline,Finish Bio ISU outline,1.0,"[-0.0069237323477864265, -0.011773274280130863, -0.009415251202881336, -0.052974168211221695, -0.002468129387125373]..."
Finish Bio ISU using by hand editing and 4o/o4 mini/gemini,Finish Bio ISU using by hand editing and 4o/o4 mini/gemini,20.0,"[0.02246050164103508, -0.028570465743541718, 0.0023632682859897614, -0.019875207915902138, -0.0028574056923389435]..."
Use AI to try to finish Eng story (4.5?),Use AI to try to finish Eng story (4.5?),20.0,"[-0.021051224321126938, 0.05458009988069534, -0.03384334594011307, 0.012571688741445541, -0.02623523212969303]..."
Prep for death penalty debate,Prep for death penalty debate,10.0,"[0.05484338849782944, 0.07787073403596878, 0.03612327203154564, 0.007953834719955921, -0.0654527023434639]..."
Use 4.5/4o/grok/gemini to finish eng story - generate a few times and take the best bits. First write full plot outline.,Use 4.5/4o/grok/gemini to finish eng story - generate a few times and take the best bits. First write full plot outline.,15.0,"[0.006894729565829039, 0.0022754869423806667, -0.006426829844713211, -0.009331421926617622, -0.04202846810221672]..."
Make flashcards for A.,Make flashcards for A.,5.0,"[-0.0005815866752527654, -0.07554122060537338, -0.03738308325409889, -0.06599197536706924, -0.00343684246763587]..."
finish eng plot outline,finish eng plot outline,15.0,"[-0.044704027473926544, -0.02855200693011284, -0.021230481564998627, -0.0018237025942653418, 0.01087487768381834]..."
Extand crontab tilll 8,Extand crontab tilll 8,3.0,"[-0.05056576430797577, -0.027550576254725456, -0.012741734273731709, 0.01309993490576744, -0.01757923886179924]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
Edit Eng Story and make it good without the use of AI,Edit Eng Story and make it good without the use of AI,60.0,"[0.016722066327929497, 0.05489041283726692, -0.022628091275691986, 0.014420447871088982, -0.04123859480023384]..."
Refine second half of english story based on Gemini's draft,Refine second half of english story based on Gemini's draft,45.0,"[0.05495264008641243, 0.10489792376756668, -0.0004834235005546361, 0.01672500930726528, -0.05764555558562279]..."
edit story with dad,edit story with dad,40.0,"[0.017227986827492714, 0.008336980827152729, -0.03642474114894867, 0.016380013898015022, -0.05713565647602081]..."
Make to do list,Make to do list,6.0,"[-0.014825672842562199, -0.0012137495214119554, -0.006469640880823135, -0.009810814633965492, 0.023529164493083954]..."
AI check story,AI check story,15.0,"[0.013907932676374912, 0.008370298892259598, -0.027326568961143494, 0.030827445909380913, -0.060753993690013885]..."
Finish calc A. Q 1-3,Finish calc A. Q 1-3,50.0,"[0.012681232765316963, -0.07703491300344467, -0.03699643164873123, 0.018268315121531487, 0.0031439156737178564]..."
work focues on calc,work focues on calc,30.0,"[-0.004844263661652803, -0.06440049409866333, -0.01664021797478199, 0.02442324534058571, -0.018692944198846817]..."
keep working on calc A,keep working on calc A,30.0,"[0.005638341419398785, -0.02425035834312439, -0.044099111109972, 0.021016014739871025, 0.04771418869495392]..."
finish 3a,finish 3a,10.0,"[-0.0060599795542657375, 0.036636073142290115, -0.008263244293630123, -0.016365865245461464, -0.008212481625378132]..."
finish 3B,finish 3B,10.0,"[-0.04305054247379303, 0.0025007303338497877, 0.014341341331601143, -0.0559653714299202, -0.016938872635364532]..."
,nan,10.0,"[-0.02318723127245903, 0.051497459411621094, -0.002392272464931011, -0.008844231255352497, -0.019576800987124443]..."
test,test,1.0,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
test,test,0.1,"[-0.024686766788363457, 0.003065709490329027, -0.05607837811112404, 0.018540963530540466, -0.05402717739343643]..."
Work on Calc A,Work on Calc A,55.0,"[0.030854713171720505, -0.06797751784324646, -0.034289319068193436, 0.011508358642458916, 0.02337764762341976]..."
Start learning ASP - read those papers and take notes in RemNote,Start learning ASP - read those papers and take notes in RemNote,50.0,"[0.0014766857493668795, -0.032429877668619156, -0.02042720653116703, 0.020755456760525703, 0.02887720987200737]..."
work on calc A,work on calc A,40.0,"[0.030854713171720505, -0.06797751784324646, -0.034289319068193436, 0.011508358642458916, 0.02337764762341976]..."
finish q5 of calc (learn exact / equal / whatever the method is),finish q5 of calc (learn exact / equal / whatever the method is),45.0,"[-0.0003236391057725996, -0.03157667815685272, -0.03305363655090332, 0.04666787013411522, 0.01423253770917654]..."
Finish q7 with AI conceptual but not solving help,Finish q7 with AI conceptual but not solving help,40.0,"[0.011876847594976425, -0.021257702261209488, -0.024805057793855667, -0.0034817098639905453, -0.036618880927562714]..."
read SLEEC N-NFR paper and write notes on 3 pages of it. Understand everything.,read SLEEC N-NFR paper and write notes on 3 pages of it. Understand everything.,35.0,"[-0.033703818917274475, -0.005848429165780544, -0.0331411212682724, 0.007380951661616564, -0.005711779929697514]..."
do 1 page of SLEEC paper into RN,do 1 page of SLEEC paper into RN,15.0,"[0.0009807299356907606, 0.02490200288593769, 0.010735872201621532, -0.013829388655722141, -0.029204560443758965]..."
note another page go go go go,note another page go go go go,7.0,"[0.007772596552968025, -0.011612340807914734, -0.0016578284557908773, -0.01792830415070057, 0.029584595933556557]..."
