Intent,Duration(min),Websites,Start,Done,Learned,Actions
"test","1","gmail.com","2025-04-29 16:16:14","test","test","test"
"Make myth flashcards","15","google.com","2025-04-29 16:22:13","Almost done flashcards. Got distracted by E + Al. ","Gemini 2.5 Pro > any other model right now for long contexts and rule following and thinking in general","Distraction = bad"
"Make to-do list","5","google.com","2025-04-30 12:01:03","Finished to-do list!","Break big things up into small actionable tasks. Give each task a time","x"
"Test if this script is working","1","","2025-04-30 12:33:09","waited till 1 min passed","",""
"test","1","https://chatgpt.com/c/68124f74-f034-8005-918c-ade89ec38604","2025-04-30 13:02:59","it worked!","",""
"Write ML project idea outline","10","google.com","2025-04-30 13:29:35","Wrote the need section, started competing tool research","It takes a while to write things. Do market research before building a tool!",""
"Finish ML Machine learning writeup","10","google.com,chatgpt.com","2025-04-30 15:15:25","researched other tools almost done main things","there are many SRS/AI flashcard makers. I do not know which is best for me",""
"Finish MOSFET report","20","google.com,chatgpt.com","2025-04-30 16:00:54","Almost finished it","Takes a while to edit things. Things always need to be edited",""
"Review Bio ISU outline. Edit it.","20","google.com,chatgpt.com","2025-04-30 17:17:09","Didnt finish it. USed o3 to do a bit of the work, read LW while it worked","o3 = slow => have a 2nd thing to do.",""
"Edit Bio ISU","25","google.com","2025-04-30 17:43:15","","",""
"I want to make a todolist","10","google.com,trevorai.com","2025-05-01 14:54:55","Read a blog post breaking down OpenAI's models and model names","Need better GTD software",""
"Make a todo list in order of due date","10","google.com","2025-05-02 09:11:06","Finished and prioritized todo list by due date","Todo list by date = key thing to have",""
"Edit and turn in Bio ISU","40","","2025-05-02 09:21:55","Finished ~68% of bio outline using o3 and 4o for editing. o3 takes ages so went on LW while waiting + spent most of time on LW. ","o3 is too slow + kinda bad => use faster models and stay engaged.",""
"Finish Bio ISU outline","1","google.com","2025-05-02 10:08:43","This was just a test","nothing",""
"Finish Bio ISU using by hand editing and 4o/o4 mini/gemini","20","google.com,chatgpt.com","2025-05-02 10:15:56","Almost finished wasted a bit of time at the start (put in headphones and listened to podcast for 2 mins) and end (showed Andrew ML project outline)","Headphones are KEY in CS (and calc?)",""
"Use AI to try to finish Eng story (4.5?)","20","google.com,chatgpt.com","2025-05-02 12:07:52","","",""
"","","","2025-05-02 12:37:02","","","nothing"
"Prep for death penalty debate","10","","2025-05-02 13:05:23","Made sources list, read some of them, got distracted by Damian's work on desmos sounds","NEED Distraction-free env. to work well",""
"Use 4.5/4o/grok/gemini to finish eng story - generate a few times and take the best bits. First write full plot outline.","15","","2025-05-02 14:15:12","Wrote out some of the plot","need focus and quite to work well",""
"Make flashcards for A.","5","google.com","2025-05-02 15:13:54","nothing","spotify can be very distracting as it is a portal to so many cool things",""
"finish eng plot outline","15","google.com","2025-05-02 15:19:37","Finished the plot, started AI edits of it.","4.5 at least when prompted to just 'turn this into a story' still defaults to chatGPTeese (bleh)",""
"Extand crontab tilll 8","3","","2025-05-02 18:54:37","Changed Crontab investigtated UofT Res email thing","",""
"test","1","","2025-05-02 20:12:18","test","tt",""
"Edit Eng Story and make it good without the use of AI","60","docs.google.com","2025-05-03 15:36:42","Edited 1/2 the story","By hand editing is usefull and more efficent then with AI, but should be based on the best parts of a few AI versions",""
"Refine second half of english story based on Gemini's draft","45","google.com","2025-05-03 17:15:17","Almost finished!!","Generate many times, take the best bits. Gemini is an execptional writer",""
"edit story with dad","40","google.com","2025-05-03 19:54:06","","",""
"Make to do list","6","google.com","2025-05-04 09:05:22","Made 2to had mum read over eng story","",""
"AI check story","15","","2025-05-04 09:17:38","Checked it for AI (~20% = none) put proper eng12 MLA formating submiting now","",""
"Finish calc A. Q 1-3","50","google.com,chatgpt.com","2025-05-04 09:46:53","finished q1, turned off the block and read LW posts on what future military tech will look like (drones!) and the fact that a canary string has leaked into AI model training data","Need to not go on LW => block and take breaks so I can really focus",""
"work focues on calc","30","chatgpt.com","2025-05-04 10:40:49","focused fine ish did 2ab half of c","context switching is so expensive - breaking to eat etc is bad and hard",""
"keep working on calc A","30","chatgpt.com","2025-05-04 11:11:59","","",""
"finish 3a","10","chatgpt.com","2025-05-04 11:53:38","finished 3A on to 3B","working lying down at back of house >> for body",""
"finish 3B","10","chatgpt.com","2025-05-04 12:06:55","finished 3B","",""
"","10","","2025-05-04 17:28:29","Eh.","",""
"test","1","","2025-05-04 23:22:53","test","t","t"
"test","0.1","","2025-05-04 23:27:37","nothing","nothing","test"
"Work on Calc A","55","chatgpt.com","2025-05-05 09:06:36","Finished Q3","distractions make it SO hard to work need headphones or even better earplugs. Should learn to work without using ChatGPT for answers so much?","Bring earplugs to school"
"Start learning ASP - read those papers and take notes in RemNote","50","google.com,chatgpt.com","2025-05-05 10:11:50","eh idk","need earplugs?",""
"work on calc A","40","chatgpt.com","2025-05-05 12:18:18","idk","USE VS CODE NOT VIM SO MUCH FASTER!! USE GIT","Put on earbuds now"
"finish q5 of calc (learn exact / equal / whatever the method is)","45","chatgpt.com","2025-05-05 14:18:42","finished q5 started q7","distractions = so bad. wave noises = too much as well just need quite ","also neeed to move more!! otherwise get so lethargic and sleepy => go for a short run now? Nah just get it DONE"
